Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills Gained,T5-Kills Gained,Dead Troops Gained
134351687,ʷʷᶜFulcrum,32.980.967,12.130.176,757.084,2.142.904,134351687,ʷʷᶜFulcrum,30.729.539,5.128.279,30.024,1.260.602,134351687,ʷʷᶜFulcrum,30.729.539,7.001.897,727.060,882.302
133919165,AkAkAk,32.874.119,2.422.527,252.219,514.011,133842685,ᴮᴴJonwho,30.639.987,3.502.267,34.678,469.826,133842685,ᴮᴴJonwho,30.639.987,1.747.021,709.362,328.278
133691120,ᴮᴴLaGata,32.807.494,22.031.783,226.424,708.002,134217749,ᴼᵖ HanCock,30.430.140,15.869.627,45.740,1.013.411,134217749,ᴼᵖ HanCock,30.430.140,9.295.167,566.323,150.846
133814737,ᴮᴴGorille٣,32.570.216,6.782.481,321.764,531.165,133893950,NatiFARM3,30.397.824,13.086.758,411.228,726.134,133893950,NatiFARM3,30.397.824,354.490,0,35.469
133739001,ᴮᴴIceCream,32.472.936,19.830.780,802.923,2.070.880,129496504,GodEee,30.357.863,3.915.376,190.671,649.644,129496504,GodEee,30.357.863,Migrated,,
133735993,亗DOBRO亗,32.155.454,5.102.809,160.112,84.897,133851047,ᴮᴴz125,29.972.898,3.855.922,77.386,774.518,133851047,ᴮᴴz125,29.972.898,2.731.435,335.750,99.566
133705019,ᴮᴴBAYMAX,32.297.290,7.221.533,257.891,966.573,134021894,亗HELP ME亗,29.858.339,10.982.610,74.550,420.821,134021894,亗HELP ME亗,29.858.339,618.983,165.975,239.353
94279132,ᴮᴴ Sakai,32.185.644,8.042.430,984.299,1.350.783,124007907,ᵀʷˢ Kallysh,29.773.856,4.085.248,177.408,1.113.745,124007907,ᵀʷˢ Kallysh,29.773.856,1.345.695,108.286,17.000
134397586,ASRAEL,32.090.464,1.188.473,49.705,488.345,119268248,alcobot,29.134.875,1.114.118,135.834,819.764,119268248,alcobot,29.134.875,0,0,0
124007907,Kallyshᴮᴿ,31.909.558,5.430.943,285.694,1.130.745,133919165,AkAkAk,29.132.309,1.178.674,53.962,147.440,133919165,AkAkAk,29.132.309,1.243.853,198.257,366.571
133935921,ᴮᴴSmoK๛HC,31.544.568,11.376.447,1.238.497,787.730,134351164,NvTnoe,28.639.959,3.779.204,48.997,840.905,134351164,NvTnoe,28.639.959,3.827.031,310.937,308.445
134622987,ᴮᴴBaba Yaga,31.560.582,3.538.452,274.555,320.536,133878435,ᴮᴴZlaYa,28.620.416,8.068.076,73.407,1.019.026,133878435,ᴮᴴZlaYa,28.620.416,0,0,0
119268248,alcobot,31.502.657,1.114.118,135.834,819.764,116965836,ᴬᴺᴿ K0T,28.157.243,1.571.481,274.799,769.682,116965836,ᴬᴺᴿ K0T,28.157.243,303.830,32.903,46.729
133893950,NatiFARM3,31.388.904,13.441.248,411.228,761.603,133744076,ᴮᴴOLove93oO,28.116.174,9.970.958,30.075,1.376.686,133744076,ᴮᴴOLove93oO,28.116.174,8.192.847,134.457,676.391
